"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106.348861694336","102.155319213867","105.558609008789","97.8787689208984","93.4944305419922","94.8511581420898","131.450912475586","","141.030654907227","99.331672668457","103.270988464355","95.5246963500977","94.1503601074219","95.198127746582","96.3449935913086","101.456390380859","114.60814666748","115.798141479492","112.78572845459","100.718467712402","99.4401931762695","99.6192092895508","99.1062316894531","97.5367736816406","95.771110534668","94.9655532836914","94.2442016601563","92.6958999633789","92.1054306030273","",
"American Samoa","ASM","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","68.3284530639648","","","97.7533416748047","85.7782821655273","89.3848419189453","92.7949066162109","83.2618026733398","82.3447113037109","","","","","101.872947692871","","","","","","","","99.9125137329102","","","","","","","","","","","","","","","112.507461547852","111.060272216797","108.630661010742","107.291038513184","106.415786743164","105.351173400879","","103.291831970215","103.163887023926","","102.82640838623","104.598907470703","","",
"Australia","AUS","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","110.997589111328","110.529846191406","109.97827911377","105.271301269531","107.877738952637","108.682540893555","110.736289978027","111.796752929688","111.337013244629","110.448509216309","108.957916259766","107.88809967041","106.443153381348","105.601081848145","104.48738861084","105.152008056641","105.676803588867","106.44132232666","106.62735748291","106.216979980469","105.879638671875","105.766319274902","105.635673522949","105.614646911621","101.065612792969","101.520362854004","101.344337463379","101.432968139648","101.548751831055","101.875541687012","101.903251647949","102.76789855957","102.857330322266","103.316596984863","103.575912475586","103.97981262207","105.668098449707","105.487670898438","105.42822265625","105.523750305176","105.540863037109","105.768203735352","105.834861755371","105.321708679199","101.615051269531","100.733032226563","100.333930969238","100.104598999023","","",
"Austria","AUT","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","102.692878723145","102.322898864746","100.865737915039","99.9559936523438","99.3784332275391","98.8827896118164","99.1756210327148","96.9474716186523","96.4898071289063","95.9423828125","96.0927276611328","96.8866195678711","96.7779922485352","96.7793807983398","96.3300628662109","98.165771484375","100.193580627441","102.958831787109","104.99681854248","105.098106384277","104.000549316406","103.608978271484","103.045989990234","102.100196838379","101.894836425781","102.026206970215","102.37931060791","103.175201416016","103.299278259277","103.122291564941","102.403213500977","100.746643066406","100.162910461426","100.801277160645","100.75366973877","101.126998901367","101.024101257324","99.8640823364258","99.6286926269531","99.125","99.2519226074219","100.16780090332","100.6396484375","101.293739318848","101.523338317871","101.997108459473","102.968368530273","103.043426513672","","",
"Azerbaijan","AZE","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.257568359375","112.299919128418","110.084167480469","110.41136932373","119.970062255859","97.3661804199219","93.5174331665039","91.9948196411133","95.5111312866211","96.2939834594727","98.0372695922852","97.1072692871094","93.3720397949219","95.4102172851563","92.7838363647461","91.0431671142578","94.6150665283203","93.8072509765625","94.5209808349609","93.2366104125977","94.5704727172852","96.8885269165039","98.8164978027344","105.492950439453","105.63597869873","105.864700317383","104.193717956543","100.014617919922","99.5354385375977","",
"Burundi","BDI","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","18.3274593353271","18.0763702392578","16.8266105651855","15.832389831543","16.1798095703125","16.463249206543","16.7677993774414","17.8962593078613","18.351879119873","19.8391304016113","21.6828708648682","24.3749694824219","30.416919708252","35.0774993896484","39.477180480957","43.7086906433105","50.2261505126953","58.4229202270508","60.2968711853027","61.055980682373","64.1080780029297","60.2156410217285","59.3838310241699","","43.8720893859863","35.2932891845703","36.3783302307129","42.6544914245605","49.6051483154297","51.4597587585449","53.8900489807129","57.5571594238281","63.3528594970703","69.1711578369141","74.6891174316406","97.9710388183594","111.041923522949","119.799026489258","129.369918823242","136.387405395508","141.294784545898","140.2646484375","137.951446533203","136.471984863281","132.815460205078","129.497802734375","124.784378051758","122.178421020508","119.839622497559","",
"Belgium","BEL","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","107.802642822266","106.612396240234","101.803520202637","103.531707763672","103.671310424805","104.503219604492","104.623489379883","104.456748962402","104.046081542969","103.799339294434","103.2900390625","102.724426269531","100.008117675781","99.3645782470703","98.8159408569336","99.3151779174805","100.737129211426","102.079170227051","102.488067626953","101.995491027832","101.491081237793","99.9453506469727","102.300216674805","101.544578552246","101.470283508301","101.720458984375","","","103.404479980469","104.537879943848","103.743789672852","102.804916381836","101.908447265625","100.617500305176","100.232971191406","100.436340332031","101.374809265137","102.035987854004","101.95694732666","101.802192687988","101.841087341309","102.038986206055","103.890937805176","103.632919311523","103.066131591797","103.257446289063","103.958297729492","103.603187561035","","",
"Benin","BEN","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","21.4586906433105","23.5679893493652","26.0464401245117","24.5716094970703","28.2674598693848","30.2193202972412","31.1506805419922","32.4230117797852","36.4114990234375","39.2893104553223","38.7673492431641","41.8238906860352","43.1886291503906","42.657398223877","42.8575592041016","41.892448425293","42.2598190307617","41.6826286315918","41.4628601074219","34.9034004211426","38.9269790649414","41.4856185913086","45.5743103027344","47.4060707092285","50.6542282104492","53.4313011169434","57.4076194763184","61.5535697937012","63.1474304199219","67.0098571777344","74.4120025634766","80.2598876953125","84.5293426513672","89.8606567382813","88.9544296264648","91.1429824829102","","104.457962036133","110.509460449219","113.182266235352","115.83194732666","120.948272705078","122.962997436523","124.428108215332","127.61499786377","126.535362243652","122.335601806641","117.958908081055","112.397277832031","",
"Burkina Faso","BFA","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","9.01523971557617","9.53499984741211","9.81744003295898","10.2248096466064","10.7184200286865","10.9822101593018","11.25940990448","11.7398700714111","12.2353200912476","12.9977197647095","13.8341503143311","14.9914102554321","16.3236598968506","17.4085597991943","19.0830402374268","20.8053703308105","22.3389205932617","22.8889598846436","24.0508003234863","25.084020614624","26.2979106903076","27.0743293762207","27.9705104827881","29.111629486084","30.8593292236328","32.6378898620605","","35.1266403198242","36.3608589172363","37.3159217834473","38.9294586181641","39.9337196350098","42.2034606933594","47.2927589416504","51.8041305541992","55.7716102600098","61.6574783325195","67.8995666503906","72.8708877563477","74.2818374633789","78.4782104492188","81.7777862548828","84.2659301757813","86.1798782348633","87.2017288208008","90.0928726196289","92.928466796875","95.2773132324219","94.2828903198242","",
