ISO_Code,Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
IRN,"Iran, Islamic Rep.",100.9956665,103.0241623,102.9659119,101.3926086,99.93730927,98.83479309,96.48226929,97.0595932,97.02751923,98.10121918,100.3582611,100.6947327,99.88327789,99.53144073,97.45368195,98.05888367,98.96748352,99.9344635,100.6151962,99.56543732,99.64402008,100.4075775,115.9076996,110.2569122,112.2736969,115.0607529,113.880661,NA
IRQ,Iraq,99.52118683,83.86447906,82.80419922,NA,NA,78.41712189,NA,NA,88.86457825,87.82456207,NA,NA,97.09043121,95.26053619,NA,NA,99.11403656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAM,Jamaica,101.7337265,NA,96.82357025,NA,NA,NA,NA,NA,94.53106689,95.84171295,95.51315308,96.06356049,94.7718811,96.44242096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.52316284,90.1967392,89.03343964,88.88195801
JOR,Jordan,97.08300018,98.73345947,97.96421051,96.40148163,95.11141205,96.05534363,NA,93.89713287,94.46350098,95.07325745,NA,97.12705994,98.38468933,98.57546234,97.41687775,96.01728821,93.0076828,89.75108337,NA,81.10949707,78.41474915,75.29847717,74.58634949,79.06507874,NA,77.927948,80.01557159,80.70693207
KAZ,Kazakhstan,122.9423065,127.4075012,129.3133545,124.6974792,102.3440628,102.0337296,99.7902298,97.46418762,96.11065674,97.12680817,99.63014221,101.3800583,102.6581802,103.4622498,102.5084763,101.4289322,102.5862198,106.9190674,108.3112106,109.0517883,110.0796967,110.6658707,112.0537186,112.5794525,111.7418365,110.0342026,109.6691208,106.7657623
KEN,Kenya,95.19480133,93.85510254,93.50657654,90.53486633,88.35693359,NA,NA,89.34644318,87.51133728,92.31815338,93.22302246,85.7407608,99.10787201,97.31078339,97.14054871,94.85057831,101.5103226,101.1540375,102.7485733,NA,NA,109.8706436,NA,106.1453629,103.6339569,103.3977432,NA,NA
KGZ,Kyrgyz Republic,NA,112.4604187,112.0881805,113.4697189,112.5129318,100.2984314,98.32749176,95.43837738,96.31394196,95.67629242,95.25061798,95.18031311,96.282341,97.74352264,98.04795074,99.36620331,98.24768829,98.70539093,98.82602692,99.06208038,99.22913361,102.4367981,104.4074936,105.3047104,105.0166779,104.0582809,106.6086884,107.2063522
KHM,Cambodia,NA,NA,NA,77.13067627,77.33544922,NA,84.48961639,88.06488037,94.09195709,99.77385712,109.3221588,122.7078094,125.2682419,126.3652878,126.0035172,124.3480988,123.3366928,119.7156372,119.0597076,120.1849518,117.8476486,117.4823532,117.568512,113.5403214,116.650589,108.747612,106.4634399,106.0780792
LAO,Lao PDR,86.32142639,84.79570007,89.81262207,92.54238892,94.28878784,97.50483704,98.67253113,100.6175232,99.76831818,97.96183014,96.15779877,97.763237,100.1057281,102.1822128,104.3823013,106.67173,108.8707733,112.0697632,115.1278534,117.852829,117.4120712,116.5793228,116.1996765,114.7830811,111.2594604,107.0805435,103.9447174,100.357338
LBR,Liberia,NA,NA,NA,NA,NA,NA,NA,61.89292145,84.07364655,98.54194641,NA,NA,NA,NA,NA,91.23510742,NA,91.17357635,96.53089142,NA,100.2153473,NA,NA,93.06523895,90.20211792,89.15522003,84.71260071,NA
LCA,St. Lucia,136.4223175,132.7757263,131.2874756,NA,NA,NA,125.0972137,NA,101.433548,101.8331375,102.2061234,101.9367218,100.7632294,99.25836182,100.5618515,102.8198013,97.96141815,NA,NA,NA,NA,NA,NA,NA,99.48973083,100.2256165,101.4541168,103.156517
LSO,Lesotho,110.1076965,107.5362778,102.7000809,104.1997986,105.6657181,104.0727768,101.2227173,100.9345627,99.7308197,111.0615692,113.0481033,116.3292923,122.4964981,124.3705215,126.2726974,129.6485138,123.7844925,123.4328766,122.6889191,122.0648193,119.9882813,118.5253601,114.902153,114.0378571,113.662941,114.6973877,117.7633133,NA
MAR,Morocco,51.94324112,53.27597046,55.96965027,59.24308014,62.58390045,65.63963318,68.25170898,72.2141037,78.86784363,85.2686615,90.97958374,96.73529816,99.82489014,100.3910217,100.6619873,100.5138397,102.6281586,102.7447586,103.3004837,106.2751007,107.7372208,108.0068283,107.7587128,107.4267578,106.644722,107.7306976,109.7799225,111.5132523
MDA,Moldova,93.07953644,93.13995361,91.95674896,91.2038269,94.82106781,NA,NA,NA,99.85640717,100.9459,99.36051941,99.22328186,99.22901917,99.50946045,97.19754028,96.1186676,93.62255096,93.00489807,92.74732208,93.34632874,93.20762634,93.68470764,93.80130768,92.85932159,91.931633,91.38623047,91.09092712,90.64650726
MDG,Madagascar,93.4388504,83.92568207,83.1581192,82.1016922,83.12404633,84.3864975,NA,91.24703217,94.05960083,99.45475006,100.5174408,101.2510834,115.7073975,131.6107635,135.8254395,135.6834259,136.9564972,139.9183655,147.6119843,142.4031372,142.0523834,143.046524,143.3527527,145.0474243,147.2942963,143.9532471,NA,143.0571442
MDV,Maldives,NA,118.6080093,121.6462936,124.1453934,121.2194595,120.8646393,117.7205963,126.8883286,128.0207825,128.1955719,125.8426971,123.2749481,122.6190491,121.3340302,116.0528488,114.8229599,111.2195282,109.3000717,108.6327286,NA,NA,NA,NA,NA,100.0245132,99.63287354,98.07930756,98.39517212
MEX,Mexico,109.7098236,109.2154999,108.6696014,107.7173386,107.5707397,106.8420868,106.6954575,106.5613632,106.9744568,107.6190414,107.9199524,108.4053268,108.5613022,108.1224213,107.5982437,107.0704193,107.6687775,108.3209534,109.5611877,109.8384171,109.8900986,109.9152985,109.0077515,107.7004013,106.4718628,106.333168,106.0346909,105.3607101
MKD,North Macedonia,NA,NA,94.83107758,95.47727966,96.65921783,97.89933777,97.77040863,97.26320648,96.94934845,95.92060852,94.93746948,94.76909637,92.44122314,92.19467163,92.54065704,91.45191193,91.10629272,86.97763062,86.60652161,86.70915985,NA,86.53288269,90.55996704,90.98673248,94.04873657,NA,97.06326294,98.06730652
MLI,Mali,20.90299034,22.2957592,25.40353966,28.42305946,31.85330009,34.27016068,38.18695831,42.71963882,46.6567688,49.31380081,52.80046844,56.74475098,58.48171997,61.73862839,64.95910645,68.39331055,71.31304932,73.82848358,75.67006683,76.95043945,78.2716217,75.42195129,NA,72.4048233,71.53739929,72.29216766,75.63831329,71.60266876
MMR,Myanmar,98.12906647,106.5646667,107.684433,108.7104416,103.1140137,NA,NA,NA,93.32241821,96.79902649,96.04476929,96.57663727,98.4471283,98.53530121,98.17810822,97.28073883,NA,98.6263504,97.1271286,97.61988068,NA,NA,NA,100.3439102,NA,107.1509323,109.1186981,109.7360611
MNE,Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.2692184,109.0697021,113.6946182,117.4672165,120.0674362,122.6229477,115.7788696,110.6315994,99.49041748,98.70393372,NA,NA,95.52709198,95.22947693,98.11672211,97.59094238
MNG,Mongolia,99.72927856,91.86257935,81.10514832,82.07901001,88.54332733,94.38204956,93.75401306,95.64920807,97.34574127,99.69360352,102.081543,102.7510986,105.54496,108.2512436,97.97194672,100.7292862,99.71247101,102.8083115,113.5513992,124.2934799,120.5935593,115.1140289,107.1282806,100.3013763,99.43936157,101.7824402,101.7597733,102.7896194
MOZ,Mozambique,53.78369904,52.06351089,51.54021072,52.92185974,56.32624054,NA,NA,55.39947891,60.06853104,65.34861755,71.29852295,74.67604828,NA,84.65486908,91.31643677,94.21984863,100.0080719,104.250412,105.0947113,105.9441605,102.2797165,101.2250977,102.3855362,102.5018921,103.4297714,104.1363525,103.6261978,108.4134521
MRT,Mauritania,41.56195831,46.57595825,54.25376129,60.2639389,63.99797058,68.56046295,74.02134705,77.71846771,80.9045105,81.64221954,81.04232788,83.94960022,87.06136322,94.24475098,95.20287323,97.45259857,99.1457901,95.32792664,100.9710083,101.9619064,100.8700027,101.4274216,101.3972015,103.1443634,107.0447006,99.77919769,99.80764008,102.752449
MWI,Malawi,72.3508606,87.12606812,96.50611115,103.9562302,148.3095551,144.0488434,NA,NA,132.4312592,135.8451996,140.2318268,136.8348846,NA,133.348175,131.0241852,131.0328369,127.7706528,134.3915405,132.8212433,140.187973,142.297226,142.9545746,148.2454224,148.7714844,147.8812103,146.4420471,147.7620544,143.0986176
NAM,Namibia,123.6219025,122.6723938,120.6032562,122.3377304,119.5597,118.2145996,117.7550888,117.1472015,114.0717773,113.8249588,114.4204102,115.3028336,114.9364777,112.6248398,112.0467834,111.1300201,112.5924377,112.1674194,112.4249496,112.9327087,NA,116.3841629,118.4301987,NA,NA,NA,121.8387527,122.1357422
NER,Niger,20.13818932,19.80924988,20.08601952,20.01034927,21.21944046,21.44129944,22.37376022,22.8266201,24.52712059,25.9850502,28.58919907,32.02143097,34.90085983,38.30675888,40.20119095,41.03292847,43.47883987,48.02487946,51.86993027,55.93310928,59.80710983,62.06499863,62.91550827,63.75035858,65.56292725,67.52597046,69.24308014,NA
NGA,Nigeria,76.31609344,80.51965332,83.4757309,83.93186188,80.93491364,72.48052979,NA,NA,83.9063797,88.19535065,87.08653259,88.49938202,90.19695282,91.6523819,92.60578156,94.28542328,87.37689209,79.06752777,80.63668823,80.96385193,87.45899963,90.86254883,92.89585114,89.42713165,NA,82.17733002,NA,NA
NPL,Nepal,85.34580231,89.99285889,90.30740356,92.72257996,93.69048309,98.66744232,NA,NA,98.94457245,103.8689804,101.2009888,107.2163467,106.7877426,107.9228363,109.1509476,124.6297607,127.2455521,126.9134903,141.2996674,149.9455261,156.0275726,154.6481323,151.2681122,148.4647064,148.5643158,148.1745605,145.2117004,NA
PAK,Pakistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.06668091,57.01293945,57.13639069,60.91778183,64.91000366,70.34327698,68.56942749,75.2917099,75.90518188,77.07290649,77.63803864,74.51299286,74.64865875,73.89344025,77.39932251,78.25324249,83.88246918,83.70681763,86.11134338
